品名,1単位g,kcal,P,F,C,方式,対応レシピ(特典)・備考,材料(のり特典より)
1日分の野菜味噌汁 1杯,300,275,25,4,39,のり公称,1日分の野菜味噌汁,ほうれん草 6本 / 小松菜 6本 / しめじ 2袋 / 乾燥椎茸 6本 / 玉ねぎ 3個 / 乾燥わかめ 60g / 干しエビ 60g / 鰹節 30g / 味噌 大さじ2杯 / 水 500ml
キクラゲと卵のリンゴ酢中華スープ 1杯,250,80,6,4.5,4,概算・採用確定(2026-08-18きよむ判断),キクラゲとたまごのリンゴ酢中華スープ(2人前を1人前へ),蒸しキクラゲ 40g / 卵 2個 / 水 400ml / 鶏ガラスープの素 小さじ2 / 醤油 小さじ1 / リンゴ酢 小さじ2（仕上げに） / ごま油 数滴 / 小ねぎ・塩こしょう 適量
サバ缶キムチ鍋 1人前,400,350,30,18,12,概算・採用確定(2026-08-18きよむ判断),サバ缶でキムチ鍋,カット野菜 1〜2袋 / カットしめじ 1/2袋 / ささみ or 鶏胸肉 200g / 鯖缶水煮 1缶 / キムチ 1人前 / めんつゆ / 水 180cc / 鍋キューブ うま辛キムチ
鮭ときのこの味噌鍋 1人前,400,320,32,12,16,概算・採用確定(2026-08-18きよむ判断),鮭ときのこの味噌鍋,カット野菜 1袋 / カットしめじ 1/2袋 / ささみ or 鶏胸肉 200g / 鮭 1切れ / 豆腐 100g / めんつゆ / 水 180cc / Cook Do 香味ペースト 12cm / 味噌 大さじ4
豆乳鍋 1人前,400,330,28,16,18,概算・採用確定(2026-08-18きよむ判断),豆乳鍋,カット野菜 1袋 / ささみ or 鶏胸肉 200g / 無調整豆乳 200cc / 水 100cc / 酒 大さじ1 / 味噌 大さじ1.5 / 鶏ガラスープ 小さじ1/3 / しょうがチューブ 少々
のり流味噌鍋 1人前,400,300,28,12,16,概算・採用確定(2026-08-18きよむ判断),味噌鍋,うどん 1〜2玉 / 豚汁の具 1袋 / ささみ or 鶏胸肉 200g / 豆腐 100g / めんつゆ / 酒 大さじ2 / みりん 大さじ1 / しょうゆ 大さじ2 / 和風顆粒だし 小さじ1 / 水 600cc
かぼちゃと鶏モモ煮 1人前,250,320,22,12,28,概算・採用確定(2026-08-18きよむ判断),,
レモン炭酸水 1杯,200,5,0,0,1,概算(ほぼ0),,
イヌリン水 1杯,200,10,0,0,5,概算(イヌリン5g・食物繊維),,
リンゴ酢炭酸水 1杯,200,10,0,0,2,概算(りんご酢15ml),,
ブラックコーヒー+MCTオイル 1杯,150,95,0.2,10,0.7,概算(MCT10g),ブラックコーヒー + MCTオイル,ブラックコーヒー 1日3杯 / MCTオイル 5g
梅干し炭酸水 1杯,200,5,0.1,0,1,概算(ほぼ0),,
