カテゴリ,品名,単位,1単位の目安g,数え方,別名(検索用),数値の作り方,優先,kcal,P,F,C,数値ソース,備考
基本食材(のり監修),ピーマン 40g,g,40,g(10刻み),ぴーまん,確定済(のり監修),✓,8,0.4,0.1,2.0,のり監修(food_table),
基本食材(のり監修),トマト 80g,g,80,g(10刻み),とまと,確定済(のり監修),✓,16,0.6,0.1,3.8,のり監修(food_table),
基本食材(のり監修),わかめ(戻し) 30g,g,30,g(10刻み),ワカメ,確定済(のり監修),✓,5,0.6,0.1,1.7,のり監修(food_table),
基本食材(のり監修),しめじ 50g,g,50,g(10刻み),シメジ,確定済(のり監修),✓,11,1.4,0.2,2.4,のり監修(food_table),
基本食材(のり監修),キムチ 40g,g,40,g(10刻み),きむち,確定済(のり監修),✓,11,0.9,0.1,2.2,のり監修(food_table),
基本食材(のり監修),枝豆(ゆで) 60g,g,60,g(10刻み),えだまめ,確定済(のり監修),✓,71,6.9,3.7,5.3,のり監修(food_table),
基本食材(のり監修),アボカド 1個,個,140,個,あぼかど,確定済(のり監修),✓,246,2.9,24.5,11.1,のり監修(food_table),1個=可食部140g換算
基本食材(のり監修),アーモンド 15g,g,15,g(10刻み),あーもんど/ナッツ,確定済(のり監修),✓,88,2.9,7.8,3.1,のり監修(food_table),
基本食材(のり監修),オリーブ油 10g,g,10,g(10刻み),オリーブオイル/おりーぶゆ,確定済(のり監修),✓,89,0.0,10.0,0.0,のり監修(food_table),
基本食材(のり監修),はちみつ 10g,g,10,g(10刻み),ハチミツ/蜂蜜,確定済(のり監修),✓,33,0.0,0.0,8.2,のり監修(food_table),
基本食材(のり監修),きなこ 10g,g,10,g(10刻み),きな粉/黄粉,確定済(のり監修),✓,45,3.7,2.6,2.9,のり監修(food_table),
基本食材(のり監修),ブルーベリー 50g,g,50,g(10刻み),ぶるーべりー,確定済(のり監修),✓,24,0.2,0.1,6.5,のり監修(food_table),
基本食材(のり監修),じゃがいも 100g,g,100,g(10刻み),ジャガイモ/馬鈴薯,確定済(のり監修),✓,59,1.8,0.1,17.3,のり監修(food_table),
基本食材(のり監修),豚もも(脂身なし) 120g,g,120,g(10刻み),ぶたもも/豚もも肉,確定済(のり監修),✓,143,26.5,4.3,0.2,のり監修(food_table),りんご酢ガイド・レシピに登場(豚ヒレの置換先)
基本食材(のり監修),牛もも(脂身なし) 120g,g,120,g(10刻み),ぎゅうもも/牛もも肉,確定済(のり監修),✓,156,25.6,5.9,0.5,のり監修(food_table),指導方針「牛バラ→牛ももに置換」より。乳用肥育牛の値で仮置き
基本食材(のり監修),うどん(ゆで) 250g,g,250,g(10刻み),饂飩,確定済(のり監修),✓,238,6.5,1.0,54.0,のり監修(food_table),献立(sample_plan)で使用実績あり
基本食材(のり監修),小松菜 80g,g,80,g(10刻み),こまつな,確定済(のり監修),✓,10,1.2,0.2,1.9,のり監修(food_table),低脂質カレーレシピで使用
基本食材(のり監修),ごぼう 50g,g,50,g(10刻み),牛蒡/ゴボウ,確定済(のり監修),✓,29,0.9,0.1,7.7,のり監修(food_table),低脂質カレーレシピで使用
基本食材(のり監修),にんじん 50g,g,50,g(10刻み),人参/ニンジン,確定済(のり監修),✓,18,0.3,0.1,4.7,のり監修(food_table),低脂質カレーレシピで使用
基本食材(のり監修),きくらげ(ゆで) 30g,g,30,g(10刻み),キクラゲ/木耳,確定済(のり監修),✓,4,0.2,0.1,1.6,のり監修(food_table),YouTube「神食材」筆頭。乾燥を戻した状態の値
基本食材(のり監修),えのき 50g,g,50,g(10刻み),エノキ/えのきたけ,確定済(のり監修),✓,17,1.4,0.1,3.8,のり監修(food_table),Claude追加提案(きのこ汎用)。不要なら削除OK
基本食材(のり監修),まいたけ 50g,g,50,g(10刻み),マイタケ/舞茸,確定済(のり監修),✓,11,1.0,0.2,2.2,のり監修(food_table),Claude追加提案(きのこ汎用)。不要なら削除OK
基本食材(のり監修),こんにゃく 100g,g,100,g(10刻み),コンニャク/蒟蒻,確定済(のり監修),✓,5,0.1,0.0,2.3,のり監修(food_table),YouTube「かさ増し・低カロリー」言及
基本食材(のり監修),しらたき 100g,g,100,g(10刻み),白滝/糸こんにゃく,確定済(のり監修),✓,7,0.2,0.0,3.0,のり監修(food_table),同上
基本食材(のり監修),大豆ミート(乾) 25g,g,25,g(10刻み),だいずみーと/ソイミート,確定済(のり監修),✓,80,11.6,0.8,9.2,のり監修(food_table),低脂質カレーレシピで使用。製品差が大きく要確認
基本食材(のり監修),チアシード 12g,g,12,g(10刻み),ちあしーど,確定済(のり監修),✓,54,2.3,4.1,4.1,のり監修(food_table),YouTube推奨(大さじ1=約12g)。10g刻みだと粗いので初期量の判断を
基本食材(のり監修),味噌 15g,g,15,g(10刻み),みそ,確定済(のり監修),✓,27,1.9,0.9,3.3,のり監修(food_table),毎日の味噌汁(1食15g)。淡色辛みその値
基本食材(のり監修),豆乳(無調整) 200g,g,200,g(10刻み),とうにゅう,確定済(のり監修),✓,92,7.2,4.0,6.2,のり監修(food_table),YouTube言及。ml≒gで扱う
基本食材(のり監修),カットトマト缶 100g,g,100,g(10刻み),トマト缶/ホールトマト,確定済(のり監修),✓,21,0.9,0.2,4.4,のり監修(food_table),レシピで使用。不要なら削除OK
基本食材(のり監修),梅干し 1個,個,10,個,うめぼし,確定済(のり監修),✓,3,0.1,0.1,0.9,のり監修(food_table),りんご酢ガイド「神食材」。1個=10g塩漬で換算(調味梅干なら数値が変わる)
基本食材(のり監修),りんご酢 1杯,杯,15,杯,リンゴ酢/アップルビネガー,確定済(のり監修),✓,4,0.0,0.0,0.4,のり監修(food_table),毎日昼夜1杯ずつ推奨。1杯=15mlで換算
基本食材(のり監修),ゼラチン 1杯,杯,5,杯,ぜらちん/コラーゲン,確定済(のり監修),✓,17,4.4,0.0,0.0,のり監修(food_table),推奨飲み物(persona)。1杯=5gで換算
基本食材(のり監修),プロセスチーズ(スライス) 1枚,枚,18,枚,チーズ/スライスチーズ,確定済(のり監修),✓,56,4.1,4.7,0.2,のり監修(food_table),注意食材(脂質過多の指導対象)だが記録用に収載。1枚=18g換算
基本食材(のり監修),サラダチキン(市販・プレーン) 1袋,袋,110,袋,さらだちきん,確定済(のり監修),✓,121,26.0,1.5,1.0,のり監修(food_table),コンビニ対応(高タンパク低脂質なら可の方針)。商品差が大きい
基本食材(のり監修),食パン(6枚切) 1枚,枚,60,枚,しょくぱん/パン,確定済(のり監修),✓,149,5.3,2.5,27.8,のり監修(food_table),YouTube指導対象。1枚=60g換算
基本食材(のり監修),ハイボール 1杯,杯,350,杯,はいぼーる/ウイスキー,確定済(のり監修),✓,90,0.0,0.0,0.0,のり監修(food_table),献立キット「お酒の日=2杯180kcal」より1杯90kcalで換算
主食,ごはん 茶碗1杯,杯,150,杯(0.5刻み),ごはん/白米/はくまい,転記,✓,234,3.8,0.5,55.6,転記(成分表01088),既存「白米(飯)g指定」と二本立て
主食,ごはん 大盛り1杯,杯,240,杯(0.5刻み),おおもり,転記,✓,374,6.0,0.7,89.0,転記(成分表01088),
主食,ごはん 子ども茶碗1杯,杯,100,杯(0.5刻み),こども/小盛り,転記,✓,156,2.5,0.3,37.1,転記(成分表01088),
主食,玄米ごはん 茶碗1杯,杯,150,杯(0.5刻み),げんまい,転記,✓,228,4.2,1.5,53.4,転記(成分表01085),既存g指定と二本立て
主食,もち麦ごはん 茶碗1杯,杯,150,杯(0.5刻み),もちむぎ,転記,✓,177,3.3,0.8,42.8,転記(成分表01170),既存g指定と二本立て
主食,雑穀米 茶碗1杯,杯,150,杯(0.5刻み),ざっこくまい/十六穀,積算,,233,3.8,0.6,55.4,積算(内訳台帳),
主食,おかゆ 1杯,杯,250,杯(0.5刻み),お粥/かゆ,転記,,162,2.8,0.2,39.2,転記(成分表01093),全かゆ
主食,雑炊 1杯,杯,300,杯(0.5刻み),ぞうすい/おじや,積算,,233,7.0,2.9,46.3,積算(内訳台帳),
主食,おにぎり(鮭) 1個,個,110,個,さけ/しゃけ,積算,✓,185,5.4,0.8,39.4,積算(内訳台帳),
主食,おにぎり(ツナマヨ) 1個,個,110,個,つなまよ,積算,✓,223,4.5,5.5,39.6,積算(内訳台帳),
主食,おにぎり(梅) 1個,個,110,個,うめ,積算,✓,181,2.9,0.4,42.1,積算(内訳台帳),
主食,おにぎり(昆布) 1個,個,110,個,こんぶ,積算,,182,3.2,0.4,42.1,積算(内訳台帳),
主食,おにぎり(明太子) 1個,個,110,個,めんたいこ,積算,,182,4.8,0.6,39.7,積算(内訳台帳),
主食,焼きおにぎり 1個,個,90,個,やきおにぎり,転記,,149,2.8,0.3,35.5,転記(成分表01112),成分表にあり
主食,赤飯 茶碗1杯,杯,150,杯(0.5刻み),せきはん/お赤飯,転記,,279,6.5,0.9,62.9,転記(成分表01118),
主食,もち 1個,個,50,個,餅/切り餅,転記,✓,112,2.0,0.3,25.4,転記(成分表01117),
主食,食パン(8枚切) 1枚,枚,45,枚,うすぎり,転記,,112,4.0,1.8,20.9,転記(成分表01026),
主食,ロールパン 1個,個,30,個,ろーるぱん,転記,,93,3.0,2.7,14.6,転記(成分表01034),
主食,クロワッサン 1個,個,45,個,くろわっさん,転記,,197,3.6,12.1,19.8,転記(成分表01035),
主食,フランスパン 2切れ,個,50,個,ばげっと/バゲット,転記,,144,4.7,0.7,28.8,転記(成分表01031),
主食,ベーグル 1個,個,90,個,べーぐる,転記,,243,8.6,1.8,49.1,転記(成分表01148),
主食,全粒粉パン 1枚,枚,60,枚,ぜんりゅうふん,転記,✓,151,4.7,3.4,27.3,転記(成分表01208),
主食,菓子パン(あんぱん) 1個,個,100,個,あんぱん,転記,,267,6.8,3.6,53.5,転記(成分表15069),
主食,菓子パン(クリームパン) 1個,個,100,個,くりーむぱん,転記,,286,7.9,7.4,48.3,転記(成分表15070),
主食,菓子パン(メロンパン) 1個,個,100,個,めろんぱん,転記,,349,8.0,10.5,59.9,転記(成分表15132),
主食,カレーパン 1個,個,120,個,かれーぱん,転記,,362,7.9,22.0,38.8,転記(成分表15127),成分表にあり
主食,総菜パン(焼きそばパン) 1個,個,130,個,そうざいぱん,積算,,311,9.0,9.4,51.4,積算(内訳台帳),
主食,サンドイッチ(ハムレタス) 1人前,人前,140,人前(0.5刻み),さんどいっち,積算,,348,12.0,15.9,42.9,積算(内訳台帳),
主食,サンドイッチ(たまご) 1人前,人前,140,人前(0.5刻み),たまごさんど,積算,✓,348,13.2,15.4,43.2,積算(内訳台帳),
主食,ホットドッグ 1個,個,120,個,ほっとどっぐ,積算,,317,10.7,18.6,29.6,積算(内訳台帳),
主食,シリアル(コーンフレーク) 1食,人前,40,人前(0.5刻み),こーんふれーく,転記,,152,3.1,0.7,33.4,転記(成分表01137),牛乳別
主食,グラノーラ 1食,人前,50,人前(0.5刻み),ぐらのーら/フルグラ,市販平均,,220,4.0,8.0,33.0,市販平均,牛乳別
主食,ホットケーキ 2枚,人前,160,人前(0.5刻み),ぱんけーき/パンケーキ,転記,,405,12.3,8.6,72.5,転記(成分表15083),シロップ込み想定は備考
主食,フレンチトースト 1枚,人前,120,人前(0.5刻み),ふれんちとーすと,積算,,238,8.4,10.0,30.9,積算(内訳台帳),
主食,お好み焼き(豚) 1枚,枚,350,枚(0.5刻み),おこのみやき,転記,,476,18.2,22.8,53.2,転記(成分表18053),成分表にあり
主食,たこ焼き 6個,人前,120,人前(0.5刻み),たこやき,積算,,195,10.9,5.2,26.6,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
主食,ピザ(マルゲリータ) 1切れ,個,100,個,ぴざ/ぴっつぁ,積算,,217,8.1,8.6,28.1,積算(内訳台帳),Mサイズ1/8×2枚分は備考へ
主食,ピザトースト 1枚,枚,120,枚,ぴざとーすと,積算,,273,12.0,10.9,33.9,積算(内訳台帳),
丼・ワンプレート,カレーライス 1人前,人前,450,人前(0.5刻み),かれー/カレー,積算,,592,16.5,17.4,101.3,積算(内訳台帳),ごはん200g込み・C方式の代表
丼・ワンプレート,カレー(ルーのみ) 1人前,人前,250,人前(0.5刻み),かれーるー,積算,,316,13.9,18.8,30.2,積算(内訳台帳),ごはん別のこだわり派用
丼・ワンプレート,ビーフカレー 1人前,人前,450,人前(0.5刻み),びーふかれー,転記,,536,10.8,40.5,36.4,転記(成分表18001),ごはん200g込み / 成分表に実在発見→転記へ(段階2-2)
丼・ワンプレート,キーマカレー 1人前,人前,400,人前(0.5刻み),きーまかれー,積算,,657,21.2,27.5,89.6,積算(内訳台帳),ごはん200g込み
丼・ワンプレート,バターチキンカレー 1人前,人前,430,人前(0.5刻み),ばたーちきん,積算,,617,20.1,25.2,84.7,積算(内訳台帳),ごはん200g込み
丼・ワンプレート,スープカレー 1人前,人前,500,人前(0.5刻み),すーぷかれー,積算,,517,20.6,17.7,78.6,積算(内訳台帳),ごはん150g込み
丼・ワンプレート,ハヤシライス 1人前,人前,450,人前(0.5刻み),はやしらいす/ハッシュドビーフ,積算,,634,17.4,24.8,92.1,積算(内訳台帳),ごはん200g込み
丼・ワンプレート,牛丼 並盛1杯,杯,400,杯(0.5刻み),ぎゅうどん,積算,,589,18.9,14.6,100.4,積算(内訳台帳),ごはん250g込み
丼・ワンプレート,牛丼(具のみ) 1人前,人前,150,人前(0.5刻み),ぎゅうどんのぐ,積算,,219,13.0,13.9,12.0,積算(内訳台帳),ごはん別用
丼・ワンプレート,親子丼 1杯,杯,400,杯(0.5刻み),おやこどん,積算,,536,19.4,9.0,98.0,積算(内訳台帳),ごはん250g込み
丼・ワンプレート,カツ丼 1杯,杯,450,杯(0.5刻み),かつどん,積算,,842,31.7,37.1,103.5,積算(内訳台帳),ごはん250g込み
丼・ワンプレート,豚丼 1杯,杯,400,杯(0.5刻み),ぶたどん,積算,,670,17.2,25.9,97.4,積算(内訳台帳),ごはん250g込み
丼・ワンプレート,天丼 1杯,杯,420,杯(0.5刻み),てんどん,積算,,672,24.1,17.2,111.0,積算(内訳台帳),ごはん250g込み
丼・ワンプレート,海鮮丼 1杯,杯,380,杯(0.5刻み),かいせんどん,積算,,535,28.5,8.4,90.4,積算(内訳台帳),ごはん230g込み
丼・ワンプレート,鉄火丼 1杯,杯,360,杯(0.5刻み),てっかどん/まぐろ丼,積算,✓,480,28.1,2.1,90.9,積算(内訳台帳),ごはん230g込み
丼・ワンプレート,ねぎとろ丼 1杯,杯,370,杯(0.5刻み),ねぎとろ,積算,,519,25.5,7.7,90.9,積算(内訳台帳),ごはん230g込み
丼・ワンプレート,うな丼 1杯,杯,400,杯(0.5刻み),うなどん/うなぎ,積算,,675,29.4,21.7,95.6,積算(内訳台帳),ごはん250g込み
丼・ワンプレート,中華丼 1杯,杯,450,杯(0.5刻み),ちゅうかどん,積算,,490,16.4,6.5,95.9,積算(内訳台帳),ごはん250g込み
丼・ワンプレート,麻婆丼 1杯,杯,430,杯(0.5刻み),まーぼーどん,積算,,562,20.0,13.0,95.9,積算(内訳台帳),ごはん250g込み
丼・ワンプレート,ロコモコ丼 1人前,人前,450,人前(0.5刻み),ろこもこ,積算,,700,27.8,22.6,102.9,積算(内訳台帳),
丼・ワンプレート,タコライス 1人前,人前,400,人前(0.5刻み),たこらいす,積算,,617,21.6,17.9,97.9,積算(内訳台帳),
丼・ワンプレート,ガパオライス 1人前,人前,400,人前(0.5刻み),がぱお,積算,,694,29.3,24.3,97.2,積算(内訳台帳),
丼・ワンプレート,オムライス 1人前,人前,410,人前(0.5刻み),おむらいす,積算,,666,24.7,27.0,85.4,積算(内訳台帳),デモ済(666kcal)
丼・ワンプレート,チャーハン 1人前,人前,300,人前(0.5刻み),ちゃーはん/炒飯/焼き飯,転記,,618,15.0,15.6,99.9,転記(成分表18057),成分表にあり
丼・ワンプレート,エビピラフ 1人前,人前,300,人前(0.5刻み),ぴらふ,転記,✓,438,9.9,6.9,89.4,転記(成分表18014),成分表にあり
丼・ワンプレート,チキンライス 1人前,人前,300,人前(0.5刻み),ちきんらいす,積算,,469,12.4,11.2,83.6,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
丼・ワンプレート,ドリア 1人前,人前,350,人前(0.5刻み),どりあ,積算,,532,15.2,19.0,78.5,積算(内訳台帳),
丼・ワンプレート,リゾット 1人前,人前,300,人前(0.5刻み),りぞっと,積算,,413,11.1,15.2,62.6,積算(内訳台帳),
丼・ワンプレート,ビビンバ 1人前,人前,450,人前(0.5刻み),びびんば,積算,,711,24.5,26.5,101.9,積算(内訳台帳),
丼・ワンプレート,ルーロー飯 1杯,杯,400,杯(0.5刻み),るーろーはん/魯肉飯,積算,,779,25.1,34.3,97.9,積算(内訳台帳),
丼・ワンプレート,寿司(にぎり10貫) 1人前,人前,350,人前(0.5刻み),すし/おすし/握り,積算,,511,29.4,10.4,79.3,積算(内訳台帳),
丼・ワンプレート,いなり寿司 1個,個,60,個,いなり,積算,,133,4.6,5.3,17.8,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
丼・ワンプレート,巻き寿司(太巻き) 1切れ,個,50,個,まきずし/のり巻き,積算,,71,3.0,0.7,14.4,積算(内訳台帳),成分表に実在せず→積算へ(段階2)
丼・ワンプレート,ちらし寿司 1人前,人前,350,人前(0.5刻み),ちらし,積算,,514,24.5,8.1,90.6,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,かけうどん 1杯,杯,450,杯(0.5刻み),うどん,積算,,308,10.4,0.9,67.5,積算(内訳台帳),汁込み
麺類,きつねうどん 1杯,杯,500,杯(0.5刻み),きつね,積算,,421,16.6,9.5,71.9,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,肉うどん 1杯,杯,500,杯(0.5刻み),にくうどん,積算,,443,19.4,10.8,72.2,積算(内訳台帳),
麺類,天ぷらうどん 1杯,杯,500,杯(0.5刻み),てんぷらうどん,積算,,386,18.4,5.0,70.1,積算(内訳台帳),
麺類,カレーうどん 1杯,杯,550,杯(0.5刻み),かれーうどん,積算,,516,15.3,18.4,78.3,積算(内訳台帳),
麺類,焼きうどん 1人前,人前,350,人前(0.5刻み),やきうどん,積算,,461,13.8,21.2,58.9,積算(内訳台帳),
麺類,ざるそば 1人前,人前,300,人前(0.5刻み),そば/もりそば,積算,,371,13.9,2.8,74.0,積算(内訳台帳),つゆ込み
麺類,かけそば 1杯,杯,450,杯(0.5刻み),かけ,積算,,419,16.5,2.6,83.7,積算(内訳台帳),
麺類,月見そば 1杯,杯,500,杯(0.5刻み),つきみ,積算,,497,23.2,8.2,83.9,積算(内訳台帳),
麺類,天ぷらそば 1杯,杯,500,杯(0.5刻み),てんぷらそば,積算,,497,24.5,6.7,86.3,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,鴨南蛮そば 1杯,杯,520,杯(0.5刻み),かもなんばん,積算,,543,26.9,11.1,85.8,積算(内訳台帳),
麺類,山かけそば 1杯,杯,500,杯(0.5刻み),やまかけ/とろろそば,積算,✓,452,17.6,2.9,90.6,積算(内訳台帳),
麺類,そうめん 1人前,人前,270,人前(0.5刻み),素麺/にゅうめん,積算,✓,299,9.6,1.0,67.1,積算(内訳台帳),ゆで270g+つゆ
麺類,醤油ラーメン 1杯,杯,550,杯(0.5刻み),らーめん/ラーメン,積算,,514,22.3,18.9,70.3,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,味噌ラーメン 1杯,杯,580,杯(0.5刻み),みそらーめん,積算,,484,21.6,13.7,76.6,積算(内訳台帳),
麺類,塩ラーメン 1杯,杯,550,杯(0.5刻み),しおらーめん,積算,,478,20.6,16.1,69.2,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,とんこつラーメン 1杯,杯,550,杯(0.5刻み),とんこつ,積算,,567,21.9,25.6,69.1,積算(内訳台帳),
麺類,つけ麺 1人前,人前,600,人前(0.5刻み),つけめん,積算,,731,28.7,24.5,108.3,積算(内訳台帳),
麺類,担々麺 1杯,杯,580,杯(0.5刻み),たんたんめん,積算,,636,27.1,29.2,75.6,積算(内訳台帳),
麺類,冷やし中華 1人前,人前,450,人前(0.5刻み),ひやしちゅうか,積算,,474,20.3,8.5,85.0,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,焼きそば 1人前,人前,350,人前(0.5刻み),やきそば/ソース焼きそば,積算,,530,16.4,23.4,73.2,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,あんかけ焼きそば 1人前,人前,450,人前(0.5刻み),あんかけ,積算,,474,19.9,17.3,68.1,積算(内訳台帳),
麺類,ちゃんぽん 1杯,杯,600,杯(0.5刻み),ちゃんぽん,積算,,513,25.3,16.6,73.0,積算(内訳台帳),
麺類,沖縄そば 1杯,杯,550,杯(0.5刻み),おきなわそば/ソーキそば,積算,,522,22.3,19.7,69.7,積算(内訳台帳),
麺類,ミートソーススパゲッティ 1人前,人前,350,人前(0.5刻み),みーとそーす/ボロネーゼ,積算,,495,19.0,12.4,84.0,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,ナポリタン 1人前,人前,350,人前(0.5刻み),なぽりたん,積算,,565,18.2,19.9,86.2,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,カルボナーラ 1人前,人前,320,人前(0.5刻み),かるぼなーら,積算,,622,27.8,27.4,73.3,積算(内訳台帳),
麺類,ペペロンチーノ 1人前,人前,280,人前(0.5刻み),ぺぺろん,積算,,475,15.6,16.2,72.9,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,たらこスパゲッティ 1人前,人前,300,人前(0.5刻み),たらこぱすた,積算,,470,20.5,14.5,71.4,積算(内訳台帳),
麺類,和風きのこパスタ 1人前,人前,320,人前(0.5刻み),きのこぱすた,積算,,468,17.7,13.9,75.8,積算(内訳台帳),
麺類,トマトソースパスタ 1人前,人前,330,人前(0.5刻み),とまとぱすた,積算,,454,13.9,12.2,78.5,積算(内訳台帳),
麺類,ジェノベーゼ 1人前,人前,300,人前(0.5刻み),じぇのべーぜ/バジル,積算,,597,18.7,28.6,72.9,積算(内訳台帳),
麺類,ラザニア 1人前,人前,300,人前(0.5刻み),らざにあ,積算,,403,16.8,14.7,55.2,積算(内訳台帳),
麺類,グラタン(マカロニ) 1人前,人前,300,人前(0.5刻み),ぐらたん,積算,,428,17.1,20.7,47.1,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
麺類,ビーフン(焼き) 1人前,人前,250,人前(0.5刻み),びーふん,積算,,391,8.9,16.3,54.0,積算(内訳台帳),成分表に実在せず→積算へ(段階2)
麺類,フォー 1杯,杯,450,杯(0.5刻み),ふぉー,積算,,324,18.1,3.0,57.6,積算(内訳台帳),
麺類,パッタイ 1人前,人前,350,人前(0.5刻み),ぱったい,積算,,468,16.9,16.4,65.2,積算(内訳台帳),
麺類,冷麺(盛岡風) 1人前,人前,450,人前(0.5刻み),れいめん,積算,,401,17.8,4.7,78.2,積算(内訳台帳),
麺類,カップラーメン 1個,個,78,個,かっぷめん/カップ麺,市販平均,,351,10.5,14.6,45.7,市販平均,標準サイズ・湯込みでなく麺量78g
麺類,カップ焼きそば 1個,個,130,個,かっぷやきそば/ペヤング,市販平均,,556,9.0,27.0,74.0,市販平均,
肉料理,鶏の唐揚げ 1個,個,30,個,からあげ/竜田揚げ,積算,,92,7.3,5.4,4.0,積算(内訳台帳),3個=1人前の案内
肉料理,鶏の照り焼き 1人前,人前,120,人前(0.5刻み),てりやき/照焼チキン,積算,,250,17.2,17.2,6.7,積算(内訳台帳),
肉料理,焼き鳥(もも・タレ) 1本,本,45,本,やきとり,積算,,81,6.5,5.4,2.0,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
肉料理,焼き鳥(ねぎま) 1本,本,45,本,ねぎま,積算,,65,5.0,4.0,2.7,積算(内訳台帳),
肉料理,焼き鳥(皮) 1本,本,30,本,かわ,積算,,138,2.0,14.4,1.1,積算(内訳台帳),
