品名,1単位g,kcal,P,F,C,根拠
満腹御膳！具沢山そぼろの揚げ出し豆腐(ナッシュ) 1食,300,291,12.6,14.1,31.1,nosh menu id=1043
食いしん坊のための肉三昧(ナッシュ) 1食,300,565,37.4,41.9,14.0,nosh menu id=1046
ゴロゴロ具沢山高菜チキンピラフ(ナッシュ) 1食,300,281,17.2,9.8,31.4,nosh menu id=1048
旨味胡麻だれと彩り野菜のこんにゃく麺(ナッシュ) 1食,300,169,9.0,6.9,19.8,nosh menu id=1051
半熟卵のたっぷりトマトリゾット(ナッシュ) 1食,300,246,6.5,9.7,34.9,nosh menu id=1055
鴨肉とわさび菜香るお出汁あん(ナッシュ) 1食,300,274,12.2,17.2,21.8,nosh menu id=1058
黒毛和牛のやみつきガーリックソース(ナッシュ) 1食,300,422,13.2,30.1,29.8,nosh menu id=1059
具沢山牛挽肉のデリパスタ(ナッシュ) 1食,300,308,15.8,16.7,26.6,nosh menu id=1060
濃厚デミソースのBIGハンバーグ(ナッシュ) 1食,300,535,30.0,34.9,26.7,nosh menu id=1061
欧風カレーのごちそうハンバーグ(ナッシュ) 1食,300,466,24.3,31.3,23.1,nosh menu id=1062
たらのレモンあん(ナッシュ) 1食,300,271,17.4,12.1,26.1,nosh menu id=1067
バジルのジューシーペッパーチキン(ナッシュ) 1食,300,426,23.4,33.4,10.4,nosh menu id=1068
濃厚タルタル添えチキン南蛮(ナッシュ) 1食,300,422,23.8,25.1,28.6,nosh menu id=1069
特製ソースのやわらかマグロカツ(ナッシュ) 1食,300,345,16.4,17.9,31.6,nosh menu id=1070
CoCo壱番屋スパイシーカレーチキン(ナッシュ) 1食,300,393,24.4,27.0,16.6,nosh menu id=1071
もちもち水餃子の酸辣湯(ナッシュ) 1食,300,223,5.2,10.6,27.4,nosh menu id=1072
揚げじゃがのほくほく肉じゃが(ナッシュ) 1食,300,378,13.5,26.5,24.9,nosh menu id=1074
柚子胡椒香るきのこリゾット(ナッシュ) 1食,300,155,5.5,2.5,30.6,nosh menu id=1075
鶏もも肉のとろみ白湯スープ(ナッシュ) 1食,300,254,17.1,16.0,14.0,nosh menu id=1076
ジューシー豚の洋風オニオンソース(ナッシュ) 1食,300,615,16.4,53.2,19.0,nosh menu id=1077
ベーコンとチーズの濃厚リゾット(ナッシュ) 1食,300,259,11.0,11.4,29.8,nosh menu id=1078
出汁香る牛肉とごぼうの肉吸い(ナッシュ) 1食,300,291,12.0,21.6,15.8,nosh menu id=1079
ゴロゴロ野菜のクラムチャウダー(ナッシュ) 1食,300,217,15.1,9.2,19.7,nosh menu id=1080
鶏つくねと茄子のトマト甘酢あん(ナッシュ) 1食,300,238,12.0,8.7,29.8,nosh menu id=1082
ふっくらうなぎのひつまぶし(ナッシュ) 1食,300,330,19.0,14.2,32.9,nosh menu id=1085
とろけるポテトミートグラタン(ナッシュ) 1食,300,345,16.8,20.9,23.5,nosh menu id=1087
たっぷり野菜の旨辛プルコギ(ナッシュ) 1食,300,384,15.2,29.8,19.3,nosh menu id=1088
ピリ辛トマトソースの豚バラグリル(ナッシュ) 1食,300,473,15.4,35.9,26.6,nosh menu id=1089
黒毛和牛のブラックチーズカレー(ナッシュ) 1食,300,468,13.7,34.1,34.0,nosh menu id=1090
半熟卵とチーズのデミハンバーグ(ナッシュ) 1食,300,370,19.1,21.6,27.6,nosh menu id=1091
シビ辛四川麻婆豆腐(ナッシュ) 1食,300,253,14.1,13.7,19.9,nosh menu id=1092
カレータルタルで楽しむアジフライ(ナッシュ) 1食,300,445,16.6,28.2,33.1,nosh menu id=1093
柔らかチキンの爽やかオニオンソース(ナッシュ) 1食,300,339,14.7,22.3,21.1,nosh menu id=1094
ふっくら鶏もも肉の甘辛てりだれ(ナッシュ) 1食,300,250,20.9,11.7,16.8,nosh menu id=1095
ガーリックトマトのロールキャベツ(ナッシュ) 1食,300,293,10.8,18.0,23.2,nosh menu id=1096
CoCo壱番屋カレーソースとんかつ(ナッシュ) 1食,300,306,13.1,16.5,28.6,nosh menu id=1097
ナッシュチキンー特製トマトソースー(ナッシュ) 1食,300,252,16.2,12.9,19.4,nosh menu id=1098
特選牛ハラミの甘辛みそだれ(ナッシュ) 1食,300,380,16.7,26.4,22.9,nosh menu id=1099
ふっくら白身魚のトマトチーズかけ(ナッシュ) 1食,300,220,18.8,10.8,13.9,nosh menu id=1100
鶏つくねのピリ辛ニンニクみそ(ナッシュ) 1食,300,273,11.5,16.5,20.8,nosh menu id=1101
魚介のごちそうトマトブイヤベース(ナッシュ) 1食,300,281,27.4,11.9,16.0,nosh menu id=1102
鶏もも肉の柚子胡椒焼き(ナッシュ) 1食,300,246,15.7,13.6,16.9,nosh menu id=1103
ガリバタチキンのチーズパスタ(ナッシュ) 1食,300,319,20.0,15.6,25.9,nosh menu id=1104
しっとり豚肉の特製うまみそだれ(ナッシュ) 1食,300,438,14.8,33.5,21.4,nosh menu id=1105
ガーリックトマトのシーフードパスタ(ナッシュ) 1食,300,232,14.7,8.2,26.6,nosh menu id=1106
鯛つみれの生姜あん(ナッシュ) 1食,300,252,13.8,13.4,21.4,nosh menu id=1107
ナッシュチキン-赤味噌だれ-(ナッシュ) 1食,300,330,17.0,14.6,34.6,nosh menu id=1108
フライドフィッシュ(ナッシュ) 1食,300,340,14.6,22.8,20.7,nosh menu id=1109
白身魚の揚げ出し生姜醤油(ナッシュ) 1食,300,257,14.5,12.0,24.5,nosh menu id=1110
たっぷり野菜と鯵の甘酢あん(ナッシュ) 1食,300,307,17.7,13.5,30.0,nosh menu id=1111
厚切りポークのジンジャーソース(ナッシュ) 1食,300,468,25.7,34.5,14.9,nosh menu id=1112
